b0	b1	k0	k1
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
175.38	189.90	-2.8993	-3.1090
172.72	187.21	-2.8896	-3.0628
170.76	184.59	-2.8783	-3.0175
168.40	182.06	-2.8482	-2.9746
166.05	179.57	-2.8105	-2.9330
163.86	177.13	-2.7607	-2.8928
161.83	174.77	-2.7292	-2.8538
159.60	172.47	-2.6950	-2.8155
157.84	170.23	-2.6594	-2.7784
156.08	168.04	-2.6359	-2.7422
154.14	165.92	-2.5933	-2.7079
152.29	163.86	-2.5632	-2.6738
150.38	161.85	-2.5279	-2.6408
148.59	159.89	-2.5020	-2.6083
146.82	158.00	-2.4654	-2.5776
145.05	156.15	-2.4349	-2.5472
143.33	154.37	-2.4011	-2.5179
141.81	152.62	-2.3774	-2.4896
140.20	150.94	-2.3397	-2.4623
138.82	149.31	-2.3246	-2.4354
137.61	147.72	-2.3018	-2.4096
136.03	146.18	-2.2790	-2.3846
134.65	144.69	-2.2528	-2.3604
133.85	143.25	-2.2541	-2.3371
132.68	141.86	-2.2380	-2.3145
131.60	140.52	-2.2094	-2.2930
130.38	139.23	-2.2014	-2.2722
129.05	137.98	-2.1722	-2.2521
128.09	136.77	-2.1591	-2.2329
127.02	135.61	-2.1380	-2.2145
125.66	134.49	-2.1050	-2.1967
124.61	133.43	-2.1033	-2.1799
123.93	132.39	-2.0805	-2.1636
123.00	131.40	-2.0630	-2.1484
122.07	130.46	-2.0515	-2.1337
121.25	129.56	-2.0361	-2.1196
120.56	128.68	-2.0241	-2.1061
120.19	127.85	-2.0253	-2.0932
119.58	127.06	-2.0200	-2.0811
119.18	126.31	-2.0055	-2.0701
118.40	125.59	-1.9918	-2.0594
117.75	124.92	-1.9827	-2.0492
117.26	124.27	-1.9814	-2.0395
116.55	123.67	-1.9641	-2.0306
116.14	123.10	-1.9546	-2.0225
115.67	122.56	-1.9458	-2.0145
115.53	122.05	-1.9514	-2.0073
114.93	121.57	-1.9382	-2.0004
114.43	121.13	-1.9387	-1.9943
114.04	120.72	-1.9354	-1.9886
113.70	120.34	-1.9302	-1.9835
113.29	119.99	-1.9243	-1.9789
112.79	119.67	-1.9061	-1.9748
112.76	119.37	-1.9056	-1.9711
112.79	119.10	-1.9046	-1.9679
112.30	118.86	-1.9232	-1.9651
111.95	118.64	-1.9099	-1.9628
111.93	118.45	-1.9096	-1.9609
111.84	118.29	-1.9100	-1.9594
111.95	118.15	-1.9145	-1.9583
111.94	118.03	-1.9144	-1.9576
111.93	117.93	-1.9143	-1.9573
112.04	117.86	-1.9176	-1.9573
112.12	117.81	-1.9124	-1.9578
112.12	117.77	-1.9125	-1.9585
112.49	117.72	-1.9281	-1.9579
112.60	117.64	-1.9372	-1.9563
112.91	117.60	-1.9558	-1.9561
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
