b0	b1	k0	k1
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
-4.42	1.66	1.0726	1.0628
-6.52	1.72	1.0895	1.0564
-7.58	1.75	1.0924	1.0506
-6.76	1.77	1.0790	1.0451
-7.13	1.79	1.0791	1.0397
-7.43	1.68	1.0763	1.0362
-7.05	1.76	1.0696	1.0305
-7.26	1.73	1.0664	1.0263
-7.08	1.68	1.0604	1.0227
-6.80	1.64	1.0485	1.0192
-6.68	1.56	1.0439	1.0164
-6.42	1.47	1.0364	1.0138
-6.73	1.45	1.0364	1.0107
-6.61	1.40	1.0319	1.0080
-7.40	1.35	1.0383	1.0056
-6.65	1.29	1.0238	1.0035
-6.53	1.22	1.0178	1.0017
-6.72	1.16	1.0157	1.0000
-6.98	1.11	1.0207	0.9984
-7.19	1.04	1.0181	0.9971
-7.27	0.97	1.0171	0.9961
-7.42	0.91	1.0167	0.9953
-6.57	0.82	0.9988	0.9949
-6.57	0.74	1.0007	0.9946
-7.12	0.67	1.0059	0.9943
-7.19	0.60	1.0019	0.9943
-7.29	0.53	1.0001	0.9945
-7.30	0.46	0.9976	0.9948
-7.58	0.38	1.0006	0.9954
-7.11	0.30	0.9936	0.9962
-5.86	0.21	0.9713	0.9973
-6.94	0.13	0.9861	0.9984
-8.28	0.05	1.0032	0.9997
-8.12	-0.03	0.9988	1.0013
-7.05	-0.12	0.9808	1.0030
-7.20	-0.21	0.9847	1.0049
-6.94	-0.29	0.9829	1.0069
-6.94	-0.38	0.9840	1.0091
-7.16	-0.47	0.9887	1.0116
-8.08	-0.57	0.9910	1.0142
-8.62	-0.66	1.0010	1.0169
-8.62	-0.75	1.0011	1.0198
-8.64	-0.84	1.0017	1.0229
-8.85	-0.94	1.0064	1.0261
-9.37	-1.04	1.0192	1.0296
-9.40	-1.14	1.0199	1.0331
-9.39	-1.24	1.0199	1.0367
-9.39	-1.33	1.0199	1.0406
-9.76	-1.44	1.0312	1.0447
-9.82	-1.54	1.0329	1.0488
-10.08	-1.65	1.0381	1.0530
-10.40	-1.75	1.0445	1.0575
-9.22	-1.77	1.0273	1.0604
-9.20	-1.85	1.0267	1.0645
-10.61	-1.97	1.0493	1.0692
-10.49	-2.05	1.0463	1.0734
-10.49	-2.13	1.0463	1.0776
